,Fauna/Flora,Grupo,Família,Espécie (Simplificado),Nome Comum,Categoria de Ameaça,Sigla Categoria de Ameaça,Bioma,Principais Ameaças,Presença em Áreas Protegidas,Plano de Ação Nacional para Conservação (PAN),Ordenamento Pesqueiro,Nível de Proteção na Estratégia Nacional,Espécie exclusiva do Brasil,Estados de Ocorrência
2730,Flora, Angiospermas, Sapotaceae, Pouteria virescens, abiurana, Em Perigo EN , EN, Amazonia, Perda de Habitat Degradacao Induzida por Humanos , Sim, Nao, Nao,2, Nao," AM, PA"
2731,Flora, Angiospermas, Sapotaceae, Pradosia granulosa, , Vulneravel VU , VU, Amazonia, Extracao de Madeira Mineracao Barragens, Sim, Nao, Nao,1, Sim," MA, PA"
2732,Flora, Angiospermas, Sapotaceae, Pradosia kuhlmannii," buranhem, casca doce", Em Perigo EN , EN, Mata Atlantica, Perda de Habitat Degradacao Induzida por Humanos Agropecuaria Especies Invasoras Poluicao Assentamentos Humanos Cidades, Sim, Nao, Nao,2, Sim, RJ
2733,Flora, Angiospermas, Sapotaceae, Pradosia subverticillata, , Vulneravel VU , VU, Amazonia, Vazio, Sim, Nao, Nao,1, Sim," AM, PA"
2734,Flora, Angiospermas, Sapotaceae, Pradosia verticillata, , Em Perigo EN , EN, Amazonia, Barragens, Sim, Nao, Nao,2, Nao, AM
2735,Flora, Angiospermas, Gentianaceae, Prepusa hookeriana, , Em Perigo EN , EN, Mata Atlantica, Queimadas Especies Invasoras, Sim, Sim, Nao,2, Sim, RJ
2736,Flora, Angiospermas, Gentianaceae, Prepusa viridiflora, , Em Perigo EN , EN, Mata Atlantica, Especies Invasoras Queimadas, Sim, Nao, Nao,2, Sim, ES
2737,Flora, Angiospermas, Apocynaceae, Prestonia solanifolia, , Em Perigo EN , EN, Mata Atlantica, Vazio, Sim, Nao, Nao,2, Informacao nao disponivel," MG, RJ, SP"
2738,Flora, Angiospermas, Asteraceae, Proteopsis argentea, , Vulneravel VU , VU, Cerrado, Extracao Direta, Sim, Sim, Nao,2, Sim, MG
2739,Flora, Angiospermas, Burseraceae, Protium bahianum, , Em Perigo EN , EN, Mata Atlantica, Assentamentos Humanos Cidades, Sim, Nao, Nao,2, Sim," BA, SE"
2740,Flora, Angiospermas, Burseraceae, Protium giganteum var. crassifolium, , Vulneravel VU , VU, Amazonia, Agropecuaria, Sim, Nao, Nao,1, Nao," AM, AP, PA"
2741,Flora, Angiospermas, Burseraceae, Protium icicariba var. talmonii, , Em Perigo EN , EN, Mata Atlantica, Extracao Direta Perda de Habitat Degradacao Induzida por Humanos , Sim, Nao, Nao,2, Sim, BA
